英雄,分路,胜率,日变化,出场率,禁用率,BP率
心魔六耳,打野/对抗路,49.1%,+0.04%,18.8%,59.2%,78.0%
瑶,游走,50.6%,+0.09%,25.6%,46.5%,72.1%
墨子,游走/中路,50.0%,+0.02%,12.7%,58.5%,71.2%
盾山,游走,55.9%,-0.14%,5.2%,61.3%,66.5%
金蝉,中路/游走,47.9%,+0.18%,11.5%,43.4%,54.9%
李信,发育路/对抗路,50.6%,-0.14%,16.6%,37.6%,54.2%
敖隐,发育路,49.3%,+0.16%,11.2%,41.4%,52.6%
哪吒,对抗路/打野,53.5%,+0.12%,14.4%,36.3%,50.7%
庄周,游走,50.3%,0.00%,5.7%,41.7%,47.4%
李信(暗),发育路/对抗路,51.5%,-0.11%,9.7%,37.6%,47.3%
大乔,中路/游走,50.2%,-0.29%,10.0%,37.3%,47.3%
少司缘,游走,50.4%,-0.05%,12.8%,33.9%,46.7%
李信(光),发育路/对抗路,49.4%,-0.17%,6.9%,37.6%,44.5%
张良,游走/中路,49.9%,+0.24%,7.4%,35.8%,43.2%
朵莉亚,游走,47.6%,+0.03%,21.8%,20.9%,42.7%
海月,中路,51.4%,-0.06%,6.5%,34.6%,41.1%
蔡文姬,游走,50.9%,-0.29%,14.5%,19.1%,33.6%
甄姬,中路,50.9%,+0.21%,22.2%,4.2%,26.4%
百里守约,发育路,51.6%,0.00%,18.5%,7.9%,26.4%
东皇太一,游走/对抗路,49.1%,+0.15%,7.2%,18.5%,25.7%
虞姬,发育路,49.9%,+0.14%,17.2%,7.9%,25.1%
后羿,发育路,52.5%,-0.21%,24.4%,0.6%,25.0%
孙权,发育路,49.8%,+0.12%,14.8%,9.6%,24.4%
吕布,对抗路,46.4%,-0.23%,18.8%,4.7%,23.5%
王昭君,中路/游走,48.5%,0.00%,14.7%,8.7%,23.4%
赵云,打野,53.8%,-0.21%,19.6%,3.5%,23.1%
西施,中路,52.0%,-0.06%,8.8%,14.3%,23.1%
钟馗,游走,47.5%,-0.10%,7.6%,15.3%,22.9%
妲己,中路,48.0%,+0.04%,18.4%,4.5%,22.9%
宫本武藏,打野,48.6%,-0.21%,9.9%,12.7%,22.6%
大禹,游走,55.8%,+0.36%,11.5%,9.5%,21.0%
芈月,对抗路,52.0%,-0.31%,8.0%,11.9%,19.9%
廉颇,游走/对抗路,51.1%,+0.21%,13.7%,5.8%,19.5%
猪八戒,打野/对抗路,48.4%,+0.13%,13.9%,5.5%,19.4%
小乔,中路,48.0%,-0.07%,18.4%,0.2%,18.6%
姜子牙,中路,49.7%,-0.22%,12.4%,4.5%,16.9%
影,对抗路/打野,52.6%,+0.11%,11.7%,5.1%,16.8%
孙悟空,打野,47.9%,+0.13%,14.5%,2.0%,16.5%
李元芳,打野/发育路,50.7%,+0.08%,14.0%,2.3%,16.3%
米莱狄,中路,45.8%,-0.08%,5.4%,10.9%,16.3%
马可波罗,发育路,48.0%,-0.01%,14.8%,1.4%,16.2%
安琪拉,中路,48.5%,+0.19%,14.5%,1.5%,16.0%
艾琳,发育路,48.1%,+0.17%,13.9%,0.9%,14.8%
项羽,对抗路/游走,48.6%,-0.05%,13.5%,1.0%,14.5%
扁鹊,中路,52.1%,+0.08%,9.9%,3.4%,13.3%
女娲,中路,51.7%,-0.13%,7.7%,4.6%,12.3%
司空震,对抗路/发育路,48.8%,-0.43%,9.2%,3.1%,12.3%
狄仁杰,发育路,49.7%,+0.04%,11.2%,0.8%,12.0%
武则天,中路,52.1%,+0.17%,9.0%,2.9%,11.9%
云缨,打野,52.7%,-0.18%,10.0%,1.8%,11.8%
鲁班七号,发育路,49.7%,-0.12%,11.6%,0.2%,11.8%
大司命,打野,47.0%,-0.10%,9.0%,2.7%,11.7%
关羽,对抗路,51.4%,+0.16%,7.3%,3.5%,10.8%
夏侯惇,对抗路/游走/打野,50.5%,+0.08%,9.3%,1.0%,10.3%
铠,打野,51.2%,+0.32%,7.8%,2.2%,10.0%
元流之子(射手),发育路,49.6%,-0.19%,8.3%,1.0%,9.3%
桑启,游走,51.9%,+0.20%,8.5%,0.7%,9.2%
黄忠,发育路,52.0%,+0.16%,8.9%,0.3%,9.2%
马超,打野/对抗路,50.4%,-0.03%,5.9%,3.2%,9.1%
张飞,游走,48.6%,-0.22%,7.3%,1.6%,8.9%
海诺,中路/对抗路,46.8%,-0.19%,5.6%,3.2%,8.8%
兰陵王,打野/对抗路,48.6%,-0.13%,5.2%,3.4%,8.6%
貂蝉,中路,50.6%,+0.06%,7.0%,1.6%,8.6%
亚瑟,对抗路/游走,50.0%,+0.19%,8.2%,0.3%,8.5%
莱西奥,发育路,52.5%,-0.34%,8.3%,0.1%,8.4%
诸葛亮,中路/打野,48.3%,+0.05%,7.6%,0.6%,8.2%
伽罗,发育路,52.0%,-0.15%,7.4%,0.7%,8.1%
白起,对抗路,53.8%,+0.08%,7.4%,0.7%,8.1%
杨戬,打野/对抗路,51.5%,+0.10%,6.9%,0.4%,7.3%
澜,打野,47.9%,+0.21%,6.1%,1.1%,7.2%
蚩奼,发育路/对抗路,49.7%,-0.16%,5.6%,1.3%,6.9%
阿古朵,打野/发育路,53.0%,+0.11%,5.5%,1.3%,6.8%
干将莫邪,中路,50.4%,-0.22%,5.8%,1.0%,6.8%
刘禅,游走,47.7%,-0.14%,5.7%,1.0%,6.7%
韩信,打野,48.7%,-0.10%,6.1%,0.5%,6.6%
刘邦,游走,50.1%,+0.28%,4.7%,1.8%,6.5%
程咬金,对抗路,48.6%,-0.28%,6.1%,0.4%,6.5%
沈梦溪,中路,50.1%,-0.27%,4.2%,2.2%,6.4%
李白,打野,49.1%,+0.27%,5.9%,0.5%,6.4%
孙尚香,发育路,45.5%,-0.18%,6.0%,0.1%,6.1%
公孙离,发育路,46.7%,+0.01%,4.9%,0.9%,5.9%
阿轲,打野,50.2%,-0.30%,4.6%,1.1%,5.7%
镜,打野,48.8%,+0.29%,3.8%,1.8%,5.6%
元流之子(坦克),游走/对抗路/打野,47.5%,-0.08%,4.6%,0.8%,5.4%
嬴政,中路,51.7%,+0.25%,5.2%,0.1%,5.3%
孙策,对抗路,47.0%,+0.36%,5.0%,0.1%,5.1%
孙膑,游走,50.0%,+0.10%,4.5%,0.6%,5.1%
苏烈,游走,49.3%,+0.12%,3.2%,1.8%,5.0%
元流之子(辅助),游走,53.0%,+0.14%,3.8%,1.2%,5.0%
裴擒虎,打野,49.3%,-0.04%,3.7%,1.3%,5.0%
元歌,对抗路,51.8%,+0.25%,3.5%,1.4%,4.9%
明世隐,游走,48.3%,+0.13%,4.4%,0.4%,4.8%
典韦,打野,46.9%,-0.30%,4.4%,0.3%,4.7%
弈星,中路,49.7%,-0.07%,3.9%,0.8%,4.7%
狂铁,对抗路,48.8%,+0.11%,4.4%,0.2%,4.6%
鬼谷子,游走,49.9%,-0.17%,1.7%,2.7%,4.4%
司马懿,打野,52.4%,-0.08%,3.7%,0.6%,4.3%
暃,打野,49.8%,-0.63%,3.6%,0.5%,4.1%
钟无艳,对抗路/打野,49.1%,-0.24%,4.0%,0.1%,4.1%
牛魔,游走,49.0%,-0.34%,3.8%,0.1%,3.9%
盘古,打野,47.4%,-0.24%,2.3%,1.6%,3.9%
杨玉环,中路/游走,50.0%,+0.41%,3.7%,0.2%,3.9%
百里玄策,打野,49.0%,-0.08%,3.5%,0.3%,3.8%
元流之子(法师),中路,53.4%,-0.86%,3.5%,0.2%,3.7%
曹操,对抗路,50.5%,-0.55%,3.6%,0.1%,3.7%
花木兰,对抗路,47.2%,-0.09%,3.6%,0.1%,3.6%
戈娅,发育路,50.6%,+0.14%,3.2%,0.2%,3.4%
嫦娥,中路,51.1%,-0.24%,2.6%,0.7%,3.3%
不知火舞,中路,46.3%,+0.19%,3.0%,0.2%,3.2%
刘备,打野,53.0%,+0.30%,2.8%,0.3%,3.1%
老夫子,对抗路,48.9%,-0.37%,2.7%,0.2%,2.9%
夏洛特,对抗路,48.4%,+0.62%,2.8%,0.1%,2.9%
赵怀真,游走/对抗路,49.9%,-0.18%,2.5%,0.3%,2.8%
云中君,打野,53.8%,-0.08%,2.7%,0.1%,2.8%
苍,发育路,50.0%,+0.53%,2.7%,0.1%,2.8%
娜可露露,打野,48.2%,-0.54%,2.5%,0.0%,2.5%
橘右京,打野,50.4%,+0.30%,2.4%,0.1%,2.5%
曜,打野,49.2%,+0.20%,2.4%,0.1%,2.4%
蒙犽,发育路,52.5%,-0.20%,2.4%,0.1%,2.4%
上官婉儿,中路,50.9%,+0.02%,2.0%,0.3%,2.3%
亚连,对抗路,52.8%,-0.04%,2.1%,0.2%,2.3%
空空儿,游走,48.7%,-0.47%,0.8%,1.4%,2.2%
鲁班大师,游走,50.0%,-0.20%,1.4%,0.7%,2.1%
达摩,对抗路,50.0%,+0.54%,2.0%,0.0%,2.0%
露娜,打野,46.7%,+0.43%,1.9%,0.1%,2.0%
姬小满,对抗路,46.2%,-0.16%,1.9%,0.1%,1.9%
周瑜,中路,50.0%,-0.41%,1.9%,0.0%,1.9%
蒙恬,对抗路,46.8%,-0.17%,1.4%,0.4%,1.8%
元流之子(刺客),打野,49.5%,+0.38%,1.5%,0.1%,1.6%
高渐离,中路,49.2%,+0.10%,1.5%,0.1%,1.6%
雅典娜,打野,58.0%,+0.58%,1.5%,0.0%,1.5%
太乙真人,游走/中路,49.7%,-0.71%,1.0%,0.4%,1.4%
梦奇,打野/对抗路,51.0%,+0.52%,0.8%,0.1%,0.9%
