英雄,分路,胜率,日变化,出场率,第一轮禁用率,第二轮禁用率,赋权禁用率,禁用率,赋权BP率,BP率,巅峰均分,Q区国十,Q区国百,aq国十,aq国百,iq国十,iq国百,av国十,av国百,iv国十,iv国百,场均击杀,场均死亡,场均助攻,KDA,参团率,输出占比,分均输出,承伤占比,分均承伤,分均经济,局均经济,伤转,平均时长,控制时长,治疗量,对塔伤害,胜方MVP,败方MVP,MVP率,拿牌率,超神率,前期胜率,中期胜率,后期胜率
海月,中路,53.0%,+0.14%,7.1%,88.9%,2.1%,89.7%,91.0%,96.9%,98.2%,"2,263","15,738","13,564","15,872","13,884","15,604","13,243","15,177","12,958","14,738","12,584",3.6,3.2,4.8,2.63,58.6%,21.5%,"5,061",18.8%,"4,636",628,"8,101",1.15,12:54,10.5s,"6,006",979,9.6%,12.1%,21.7%,24.5%,2.2%,51.4%,53.5%,49.4%
敖隐,发育路,51.2%,+0.09%,19.8%,76.2%,2.2%,77.1%,78.4%,96.8%,98.2%,"2,263","16,257","14,238","16,470","14,591","16,043","13,884","15,592","13,365","14,890","12,975",3.4,2.1,5.1,4.08,57.5%,23.9%,"5,928",16.9%,"4,161",713,"9,673",1.12,13:34,6.2s,"27,537","13,421",12.4%,9.4%,21.8%,24.3%,4.4%,54.4%,49.3%,48.7%
盾山,游走,55.1%,-0.17%,11.5%,83.7%,0.9%,84.0%,84.6%,95.6%,96.1%,"2,267","15,750","13,512","16,043","14,207","15,457","12,816","14,841","12,780","14,448","12,249",0.9,2.6,9.5,4.04,71.0%,9.0%,"2,093",25.1%,"5,769",528,"7,172",0.57,13:35,42.2s,"14,515","1,622",2.5%,4.4%,6.9%,20.4%,0.0%,58.4%,53.6%,51.5%
少司缘,游走,51.8%,+0.02%,28.3%,56.2%,3.7%,57.7%,59.9%,85.9%,88.1%,"2,262","16,730","15,150","16,470","15,177","16,989","15,122","15,604","14,152","15,863","14,247",1.3,2.8,9.5,3.91,74.7%,12.5%,"3,058",23.0%,"5,509",586,"7,716",0.73,13:10,10.8s,"73,036","1,020",9.2%,5.9%,15.1%,40.0%,0.0%,51.5%,51.9%,48.4%
裴擒虎,打野,50.9%,-0.16%,17.1%,43.6%,11.9%,48.4%,55.5%,65.5%,72.6%,"2,248","16,333","14,417","16,196","14,619","16,470","14,214","15,396","13,493","16,031","13,725",4.2,2.8,4.5,3.13,64.7%,20.1%,"4,837",18.1%,"4,368",778,"10,360",0.86,13:19,3.5s,"7,429","11,374",15.8%,8.4%,24.2%,24.3%,8.9%,54.4%,49.8%,50.3%
马超,打野/对抗路,51.0%,-0.08%,24.6%,33.9%,8.0%,37.0%,41.8%,61.6%,66.4%,"2,250","16,577","14,631","16,684","14,890","16,470","14,372","15,616","13,884","16,271","13,634",4.0,2.6,4.4,3.22,61.5%,21.1%,"5,086",20.0%,"4,858",795,"10,560",0.88,13:17,2.3s,"40,885","7,777",14.7%,11.4%,26.1%,24.8%,7.8%,51.6%,50.5%,50.5%
元流之子(射手),发育路,48.1%,+0.16%,30.5%,8.3%,25.1%,18.3%,33.4%,48.8%,63.9%,"2,257","16,232","14,595","16,433","14,878","16,031","14,311","15,476","14,103","15,396","13,920",3.1,2.4,4.7,3.24,55.8%,27.0%,"6,688",16.1%,"3,840",717,"9,596",1.25,13:23,0.8s,"15,538","14,502",13.4%,10.5%,23.9%,22.3%,3.1%,50.2%,47.1%,46.9%
沈梦溪,中路,46.9%,-0.10%,21.4%,18.3%,23.8%,27.9%,42.2%,49.3%,63.6%,"2,248","16,180","14,250","16,488","14,616","15,872","13,884","15,317","13,884","15,354","13,634",2.7,2.4,6.5,3.80,66.0%,29.2%,"7,427",13.9%,"3,362",651,"8,908",1.48,13:41,5.4s,"6,508",863,14.9%,18.5%,33.4%,31.5%,1.8%,45.5%,47.1%,51.7%
镜,打野,51.8%,-0.11%,18.9%,30.9%,11.5%,35.5%,42.4%,54.3%,61.3%,"2,254","16,339","14,430","16,134","14,616","16,543","14,244","16,080","13,725","15,500","13,634",4.2,2.6,4.8,3.51,63.3%,21.0%,"5,222",18.5%,"4,512",770,"10,498",0.91,13:38,4.4s,"39,219","7,797",17.0%,15.7%,32.7%,34.7%,7.6%,52.5%,50.7%,51.5%
女娲,中路,49.5%,-0.05%,22.0%,13.6%,20.9%,22.0%,34.5%,44.0%,56.5%,"2,260","16,147","14,475","16,318","14,719","15,976","14,231","15,384","13,841","15,073","13,484",2.7,2.3,7.3,4.43,69.8%,27.3%,"6,864",11.3%,"2,667",644,"8,973",1.39,13:56,27.1s,"5,879",811,15.3%,16.8%,32.1%,31.6%,1.7%,48.1%,49.6%,52.5%
